sample-id,treatment,crop,harvest,drought,planted,Sample_or_Control
DNA_1,PreDr(P1),switchgrass,pre-drought,pre-drought,planted,True Sample
DNA_2,PreDr(P2),switchgrass,pre-drought,pre-drought,planted,True Sample
DNA_3,PreDr(P3),switchgrass,pre-drought,pre-drought,planted,True Sample
DNA_4,PreDr(P4),switchgrass,pre-drought,pre-drought,planted,True Sample
DNA_5,PreDr(P5),switchgrass,pre-drought,pre-drought,planted,True Sample
DNA_6,PreDr(U1),switchgrass,pre-drought,pre-drought,unplanted,True Sample
DNA_7,PreDr(U2),switchgrass,pre-drought,pre-drought,unplanted,True Sample
DNA_8,PreDr(U3),switchgrass,pre-drought,pre-drought,unplanted,True Sample
DNA_9,PreDr(U4),switchgrass,pre-drought,pre-drought,unplanted,True Sample
DNA_10,PreDr(U5),switchgrass,pre-drought,pre-drought,unplanted,True Sample
DNA_13,H1Dr(P1),switchgrass,harvest1,drought,planted,True Sample
DNA_14,H1Dr(P2),switchgrass,harvest1,drought,planted,True Sample
DNA_15,H1Dr(P3),switchgrass,harvest1,drought,planted,True Sample
DNA_16,H1Dr(P4),switchgrass,harvest1,drought,planted,True Sample
DNA_17,H1Dr(P5),switchgrass,harvest1,drought,planted,True Sample
DNA_18,H1Dr(U1),switchgrass,harvest1,drought,unplanted,True Sample
DNA_19,H1Dr(U2),switchgrass,harvest1,drought,unplanted,True Sample
DNA_20,H1Dr(U3),switchgrass,harvest1,drought,unplanted,True Sample
DNA_21,H1Dr(U4),switchgrass,harvest1,drought,unplanted,True Sample
DNA_22,H1Dr(U5),switchgrass,harvest1,drought,unplanted,True Sample
DNA_25,H2Dr(P1),switchgrass,harvest2,drought,planted,True Sample
DNA_26,H2Dr(P2),switchgrass,harvest2,drought,planted,True Sample
DNA_27,H2Dr(P3),switchgrass,harvest2,drought,planted,True Sample
DNA_28,H2Dr(P4),switchgrass,harvest2,drought,planted,True Sample
DNA_29,H2Dr(P5),switchgrass,harvest2,drought,planted,True Sample
DNA_30,H2Dr(U1),switchgrass,harvest2,drought,unplanted,True Sample
DNA_31,H2Dr(U2),switchgrass,harvest2,drought,unplanted,True Sample
DNA_32,H2Dr(U3),switchgrass,harvest2,drought,unplanted,True Sample
DNA_33,H2Dr(U4),switchgrass,harvest2,drought,unplanted,True Sample
DNA_34,H2Dr(U5),switchgrass,harvest2,drought,unplanted,True Sample
DNA_37,H3Dr(P1),switchgrass,harvest3,drought,planted,True Sample
DNA_38,H3Dr(P2),switchgrass,harvest3,drought,planted,True Sample
DNA_39,H3Dr(P3),switchgrass,harvest3,drought,planted,True Sample
DNA_40,H3Dr(P4),switchgrass,harvest3,drought,planted,True Sample
DNA_41,H3Dr(P5),switchgrass,harvest3,drought,planted,True Sample
DNA_42,H3Dr(U1),switchgrass,harvest3,drought,unplanted,True Sample
DNA_43,H3Dr(U2),switchgrass,harvest3,drought,unplanted,True Sample
DNA_44,H3Dr(U3),switchgrass,harvest3,drought,unplanted,True Sample
DNA_45,H3Dr(U4),switchgrass,harvest3,drought,unplanted,True Sample
DNA_46,H3Dr(U5),switchgrass,harvest3,drought,unplanted,True Sample
DNA_49,H4Dr(P1),switchgrass,harvest4,drought,planted,True Sample
DNA_50,H4Dr(P2),switchgrass,harvest4,drought,planted,True Sample
DNA_51,H4Dr(P3),switchgrass,harvest4,drought,planted,True Sample
DNA_52,H4Dr(P4),switchgrass,harvest4,drought,planted,True Sample
DNA_53,H4Dr(P5),switchgrass,harvest4,drought,planted,True Sample
DNA_54,H4Dr(U1),switchgrass,harvest4,drought,unplanted,True Sample
DNA_55,H4Dr(U2),switchgrass,harvest4,drought,unplanted,True Sample
DNA_56,H4Dr(U3),switchgrass,harvest4,drought,unplanted,True Sample
DNA_57,H4Dr(U4),switchgrass,harvest4,drought,unplanted,True Sample
DNA_58,H4Dr(U5),switchgrass,harvest4,drought,unplanted,True Sample
DNA_59,H5Dr(P1),switchgrass,harvest5,drought,planted,True Sample
DNA_60,H5Dr(P2),switchgrass,harvest5,drought,planted,True Sample
DNA_61,H5Dr(P3),switchgrass,harvest5,drought,planted,True Sample
DNA_62,H5Dr(P4),switchgrass,harvest5,drought,planted,True Sample
DNA_63,H5Dr(P5),switchgrass,harvest5,drought,planted,True Sample
DNA_64,H5Dr(U1),switchgrass,harvest5,drought,unplanted,True Sample
DNA_65,H5Dr(U2),switchgrass,harvest5,drought,unplanted,True Sample
DNA_66,H5Dr(U3),switchgrass,harvest5,drought,unplanted,True Sample
DNA_67,H5Dr(U4),switchgrass,harvest5,drought,unplanted,True Sample
DNA_68,H5Dr(U5),switchgrass,harvest5,drought,unplanted,True Sample
DNA_71,H1WW(P1),switchgrass,harvest1,well-watered,planted,True Sample
DNA_72,H1WW(P2),switchgrass,harvest1,well-watered,planted,True Sample
DNA_73,H1WW(P3),switchgrass,harvest1,well-watered,planted,True Sample
DNA_74,H1WW(P4),switchgrass,harvest1,well-watered,planted,True Sample
DNA_75,H1WW(P5),switchgrass,harvest1,well-watered,planted,True Sample
DNA_76,H1WW(U1),switchgrass,harvest1,well-watered,unplanted,True Sample
DNA_77,H1WW(U2),switchgrass,harvest1,well-watered,unplanted,True Sample
DNA_78,H1WW(U3),switchgrass,harvest1,well-watered,unplanted,True Sample
DNA_79,H1WW(U4),switchgrass,harvest1,well-watered,unplanted,True Sample
DNA_80,H1WW(U5),switchgrass,harvest1,well-watered,unplanted,True Sample
DNA_81,H2WW(P1),switchgrass,harvest2,well-watered,planted,True Sample
DNA_82,H2WW(P2),switchgrass,harvest2,well-watered,planted,True Sample
DNA_83,H2WW(P3),switchgrass,harvest2,well-watered,planted,True Sample
DNA_84,H2WW(P4),switchgrass,harvest2,well-watered,planted,True Sample
DNA_85,H2WW(P5),switchgrass,harvest2,well-watered,planted,True Sample
DNA_86,H2WW(U1),switchgrass,harvest2,well-watered,unplanted,True Sample
DNA_87,H2WW(U2),switchgrass,harvest2,well-watered,unplanted,True Sample
DNA_88,H2WW(U3),switchgrass,harvest2,well-watered,unplanted,True Sample
DNA_89,H2WW(U4),switchgrass,harvest2,well-watered,unplanted,True Sample
DNA_90,H2WW(U5),switchgrass,harvest2,well-watered,unplanted,True Sample
DNA_93,H3WW(P1),switchgrass,harvest3,well-watered,planted,True Sample
DNA_94,H3WW(P2),switchgrass,harvest3,well-watered,planted,True Sample
DNA_95,H3WW(P3),switchgrass,harvest3,well-watered,planted,True Sample
DNA_96,H3WW(P4),switchgrass,harvest3,well-watered,planted,True Sample
DNA_97,H3WW(P5),switchgrass,harvest3,well-watered,planted,True Sample
DNA_98,H3WW(U1),switchgrass,harvest3,well-watered,unplanted,True Sample
DNA_99,H3WW(U2),switchgrass,harvest3,well-watered,unplanted,True Sample
DNA_100,H3WW(U3),switchgrass,harvest3,well-watered,unplanted,True Sample
DNA_101,H3WW(U4),switchgrass,harvest3,well-watered,unplanted,True Sample
DNA_102,H3WW(U5),switchgrass,harvest3,well-watered,unplanted,True Sample
DNA_105,H4WW(P1),switchgrass,harvest4,well-watered,planted,True Sample
DNA_106,H4WW(P2),switchgrass,harvest4,well-watered,planted,True Sample
DNA_107,H4WW(P3),switchgrass,harvest4,well-watered,planted,True Sample
DNA_108,H4WW(P4),switchgrass,harvest4,well-watered,planted,True Sample
DNA_109,H4WW(P5),switchgrass,harvest4,well-watered,planted,True Sample
DNA_110,H4WW(U1),switchgrass,harvest4,well-watered,unplanted,True Sample
DNA_111,H4WW(U2),switchgrass,harvest4,well-watered,unplanted,True Sample
DNA_112,H4WW(U3),switchgrass,harvest4,well-watered,unplanted,True Sample
DNA_113,H4WW(U4),switchgrass,harvest4,well-watered,unplanted,True Sample
DNA_114,H4WW(U5),switchgrass,harvest4,well-watered,unplanted,True Sample
DNA_115,H5WW(P1),switchgrass,harvest5,well-watered,planted,True Sample
DNA_116,H5WW(P2),switchgrass,harvest5,well-watered,planted,True Sample
DNA_117,H5WW(P3),switchgrass,harvest5,well-watered,planted,True Sample
DNA_118,H5WW(P4),switchgrass,harvest5,well-watered,planted,True Sample
DNA_119,H5WW(P5),switchgrass,harvest5,well-watered,planted,True Sample
DNA_122,H5WW(U1),switchgrass,harvest5,well-watered,unplanted,True Sample
DNA_123,H5WW(U2),switchgrass,harvest5,well-watered,unplanted,True Sample
DNA_124,H5WW(U3),switchgrass,harvest5,well-watered,unplanted,True Sample
DNA_125,H5WW(U4),switchgrass,harvest5,well-watered,unplanted,True Sample
DNA_126,H5WW(U5),switchgrass,harvest5,well-watered,unplanted,True Sample
DNA_127,PreDr(P1),bean,pre-drought,pre-drought,planted,True Sample
DNA_128,PreDr(P2),bean,pre-drought,pre-drought,planted,True Sample
DNA_129,PreDr(P3),bean,pre-drought,pre-drought,planted,True Sample
DNA_130,PreDr(P4),bean,pre-drought,pre-drought,planted,True Sample
DNA_131,PreDr(P5),bean,pre-drought,pre-drought,planted,True Sample
DNA_134,PreDr(U1),bean,pre-drought,pre-drought,unplanted,True Sample
DNA_135,PreDr(U2),bean,pre-drought,pre-drought,unplanted,True Sample
DNA_136,PreDr(U3),bean,pre-drought,pre-drought,unplanted,True Sample
DNA_137,PreDr(U4),bean,pre-drought,pre-drought,unplanted,True Sample
DNA_138,PreDr(U5),bean,pre-drought,pre-drought,unplanted,True Sample
DNA_139,H1Dr(P1),bean,harvest1,drought,planted,True Sample
DNA_140,H1Dr(P2),bean,harvest1,drought,planted,True Sample
DNA_141,H1Dr(P3),bean,harvest1,drought,planted,True Sample
DNA_142,H1Dr(P4),bean,harvest1,drought,planted,True Sample
DNA_143,H1Dr(P5),bean,harvest1,drought,planted,True Sample
DNA_146,H1Dr(U1),bean,harvest1,drought,unplanted,True Sample
DNA_147,H1Dr(U2),bean,harvest1,drought,unplanted,True Sample
DNA_148,H1Dr(U3),bean,harvest1,drought,unplanted,True Sample
DNA_149,H1Dr(U4),bean,harvest1,drought,unplanted,True Sample
DNA_150,H1Dr(U5),bean,harvest1,drought,unplanted,True Sample
DNA_151,H2Dr(P1),bean,harvest2,drought,planted,True Sample
DNA_152,H2Dr(P2),bean,harvest2,drought,planted,True Sample
DNA_153,H2Dr(P3),bean,harvest2,drought,planted,True Sample
DNA_154,H2Dr(P4),bean,harvest2,drought,planted,True Sample
DNA_155,H2Dr(P5),bean,harvest2,drought,planted,True Sample
DNA_156,H2Dr(U1),bean,harvest2,drought,unplanted,True Sample
DNA_157,H2Dr(U2),bean,harvest2,drought,unplanted,True Sample
DNA_158,H2Dr(U3),bean,harvest2,drought,unplanted,True Sample
DNA_159,H2Dr(U4),bean,harvest2,drought,unplanted,True Sample
DNA_160,H2Dr(U5),bean,harvest2,drought,unplanted,True Sample
DNA_163,H3Dr(P1),bean,harvest3,drought,planted,True Sample
DNA_164,H3Dr(P2),bean,harvest3,drought,planted,True Sample
DNA_165,H3Dr(P3),bean,harvest3,drought,planted,True Sample
DNA_166,H3Dr(P4),bean,harvest3,drought,planted,True Sample
